week,FR,BE,DE,CH,IT,ES,UK
202100,0.835554831,0.829677634,0.994698193,0.990792502,0,0.997897982,0.661669998
202101,0.845315301,0.831173147,0.996892044,0.991121342,0,0.99845852,0.656673329
202102,0.844859052,0.830342306,0.999634358,0.993094377,0,0.998318386,0.684321563
202103,0.832458856,0.896643403,0.993144215,0.992765538,0,0.99845852,0.68332223
202104,0.820009777,0.999335327,0.997349097,0.992107859,0,0.997337444,0.62158561
202105,0.810184129,0.998836823,0.995642768,0.988161789,0,0.99691704,0.617921386
202106,0.789832166,0.999335327,1,0.977310095,0,0.996636771,0.572951366
202107,0.732621802,1,0.993540327,0.974679382,0,0.996776906,0.576726627
202108,0.713850416,0.999667664,0.991986349,0.971719829,0,0.996496637,0.481789918
202109,0.713149747,0.996510469,0.99414973,0.992765538,0,0.997337444,0.459804575
202110,0.735114877,0.997008973,0.996526402,0.991450181,0,0.997477578,0.494003997
202111,0.742480039,0.999169159,0.997288156,0.99177902,0,0.855381166,0.557406174
202112,0.728841453,0.99817215,0.82842256,0.991121342,0,0.855100897,0.593604264
202113,0.678979958,0.9222333,0.822237119,0.988819467,0,0.854820628,0.54497002
202114,0.646064853,0.923396477,0.82251135,0.994080894,0,0.85426009,0.586275816
202115,0.640492097,0.924227318,0.976507511,0.993094377,0,0.853699552,0.662891406
202116,0.623562001,0.918743769,0.97428319,0.988490628,0,0.853279148,0.60937153
202117,0.634658628,0.943170489,0.973765197,0.98783295,0,0.942825112,0.623362203
202118,0.619618706,0.943170489,0.821901947,0.987175271,0,0.991591928,0.486231401
202119,0.639514421,0.939182453,0.815960267,0.975994739,0,0.992713004,0.483455474
202120,0.670686003,0.817547358,0.977787257,0.860243341,0,0.707819507,0.574727959
